address,price,size,date_sold,sqm_price,area,percent_increase
Torsplan 8,8900000,"3 rum, 79 m²",2020-09-16,112 700 kr/m²,"Lägenhet, Vasastan",+6.6 %
Sveavägen 55,11100000,"3 rum, 81 m²",2020-09-16,137 000 kr/m²,"Lägenhet, Vasastan",+5.7 %
Birger Jarlsgatan 115B,6895000,"3 rum, 80 m²",2020-09-16,86 200 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Sonja Kovalevskys gata 11,11625000,"5 rum, 129 m²",2020-09-16,90 100 kr/m²,"Lägenhet, Vasastan",+5.7 %
Birger Jarlsgatan 67,2950000,"1 rum, 21 m²",2020-09-16,140 500 kr/m²,"Lägenhet, Vasastan",-1.7 %
Sveavägen 136,4030000,"2 rum, 44 m²",2020-09-16,91 600 kr/m²,"Lägenhet, Vasastan",-1.1 %
Birger Jarlsgatan 113C,7700000,"3 rum, 84½ m²",2020-09-16,91 100 kr/m²,"Lägenhet, Vasastan - Östermalm",+2.7 %
Döbelnsgatan 56,3500000,"1 rum, 32 m²",2020-09-16,109 000 kr/m²,"Lägenhet, Vasastan",+17.6 %
Idungatan 6A,6570000,"2 rum, 67 m²",2020-09-16,98 100 kr/m²,"Lägenhet, Vasastan",+9.6 %
Torsplan 8,6550000,"2 rum, 57 m²",2020-09-16,114 900 kr/m²,"Lägenhet, Vasastan Hagastaden",-3.6 %
Roslagsgatan 54A,4550000,"2 rum, 51 m²",2020-09-16,89 200 kr/m²,"Lägenhet, Vasastan",+8.5 %
Markvardsgatan 9,8175000,"3 rum, 80 m²",2020-09-15,102 200 kr/m²,"Lägenhet, Vasastan",+16.0 %
Tegnérgatan 36,9500000,"3 rum, 87 m²",2020-09-15,109 200 kr/m²,"Lägenhet, Vasastan",+19.5 %
Sankt Eriksgatan 81,3925000,"1 rum, 45 m²",2020-09-15,87 200 kr/m²,"Lägenhet, Vasastan",+17.2 %
Drejargatan 6,3550000,"1½ rum, 31 m²",2020-09-15,114 500 kr/m²,"Lägenhet, Vasastan Birkastan",+18.5 %
Tulegatan 37,9000000,"3 rum, 77 m²",2020-09-15,116 900 kr/m²,"Lägenhet, Vasastan",+14.6 %
Gästrikegatan,3475000,"2 rum, 28 m²",2020-09-15,124 100 kr/m²,"Lägenhet, Vasastan",+13.9 %
Frejgatan 101,3850000,"2 rum, 35 m²",2020-09-15,110 000 kr/m²,"Lägenhet, Vasastan",+16.8 %
Atlasgatan 1,4150000,"2 rum, 43½ m²",2020-09-15,95 400 kr/m²,"Lägenhet, Vasastan",+9.4 %
Rörstrandsgatan 4,3945000,"2 rum, 29 m²",2020-09-15,136 000 kr/m²,"Lägenhet, Vasastan",+23.5 %
Frejgatan 6,8850000,"4 rum, 89 m²",2020-09-15,99 400 kr/m²,"Lägenhet, Östermalm",+5.7 %
Birger Jarlsgatan 104A,4700000,"2 rum, 48 m²",2020-09-15,97 900 kr/m²,"Lägenhet, Östermalm",+4.7 %
Frejgatan 44,5300000,"2 rum, 47 m²",2020-09-15,112 800 kr/m²,"Lägenhet, Vasastan - Odenplan",+20.6 %
Drejargatan 6,4960000,"2 rum, 42 m²",2020-09-15,118 100 kr/m²,"Lägenhet, Vasastan",+15.5 %
Döbelnsgatan 87A,4000000,"1 rum, 37 m²",2020-09-15,108 100 kr/m²,"Lägenhet, Vasastan",+17.8 %
Birger Jarlsgatan 111D,8050000,"3 rum, 84 m²",2020-09-15,95 800 kr/m²,"Lägenhet, Vasastan",+8.1 %
Surbrunnsgatan 31B,11000000,"3 rum, 94 m²",2020-09-15,117 000 kr/m²,"Lägenhet, Vasastan",+10.6 %
Tulegatan 32B,14500000,"4 rum, 130 m²",2020-09-15,111 500 kr/m²,"Lägenhet, Vasastan",+4.3 %
Västmannagatan 101,4950000,"2 rum, 56 m²",2020-09-15,88 400 kr/m²,"Lägenhet, Vasastan",+10.1 %
Valhallavägen 22A,4020000,"2 rum, 50 m²",2020-09-15,80 400 kr/m²,"Lägenhet, Östermalm / Vasastan",+3.2 %
Sveavägen 129,5300000,"2 rum, 66 m²",2020-09-14,80 300 kr/m²,"Lägenhet, Vasastan",+7.1 %
Döbelnsgatan 79,5870000,"2 rum, 61½ m²",2020-09-14,95 800 kr/m²,"Lägenhet, Vasastan",-0.5 %
Ynglingagatan 26,5375000,"2 rum, 58 m²",2020-09-14,92 700 kr/m²,"Lägenhet, Vasastan",+1.5 %
Tomtebogatan 50,5100000,"2 rum, 54 m²",2020-09-14,94 400 kr/m²,"Lägenhet, Vasastan",+5.2 %
Döbelnsgatan 67,4200000,"2 rum, 46 m²",2020-09-14,91 300 kr/m²,"Lägenhet, Vasastan",+7.8 %
Norrtullsgatan 25C,3450000,"1½ rum, 41 m²",2020-09-14,84 100 kr/m²,"Lägenhet, Vasastan",+15.4 %
Sankt Eriksplan 10,17500000,"4 rum, 160 m²",2020-09-13,109 400 kr/m²,"Lägenhet, Vasastan",+9.7 %
Döbelnsgatan 18,8835000,"3 rum, 79½ m²",2020-09-13,111 100 kr/m²,"Lägenhet, Vasastan",+11.1 %
Västmannagatan 24,3750000,"2 rum, 37 m²",2020-09-13,101 400 kr/m²,"Lägenhet, Vasastan",+13.8 %
Tomtebogatan 39,5400000,"2 rum, 57 m²",2020-09-13,94 700 kr/m²,"Lägenhet, Vasastan Birkastan",-4.4 %
Frejgatan 8,5100000,"2 rum, 55 m²",2020-09-13,92 700 kr/m²,"Lägenhet, Östermalm",-1.9 %
Vulcanusgatan 4,4650000,"2 rum, 40 m²",2020-09-12,116 300 kr/m²,"Lägenhet, Vasastan",+12.0 %
Kungstensgatan 31,4600000,"2 rum, 46 m²",2020-09-12,100 000 kr/m²,"Lägenhet, Vasastan",+9.7 %
Dalagatan 38A,5450000,"2 rum, 55 m²",2020-09-12,99 100 kr/m²,"Lägenhet, Vasastan",+9.1 %
Rödabergsgatan 9A,3900000,"2 rum, 43½ m²",2020-09-12,89 700 kr/m²,"Lägenhet, Röda",+1.3 %
Hälsingegatan 51,4350000,"1½ rum, 35 m²",2020-09-11,124 300 kr/m²,"Lägenhet, Vasastan Hagastaden",+8.9 %
Birger Jarlsgatan 104G,4850000,"2 rum, 43 m²",2020-09-11,112 800 kr/m²,"Lägenhet, Östermalm",+25.3 %
Birger Jarlsgatan 104F,3100000,"1 rum, 30 m²",2020-09-11,103 300 kr/m²,"Lägenhet, Östermalm",+19.5 %
Surbrunnsgatan 19,2650000,"1 rum, 23 m²",2020-09-11,115 200 kr/m²,"Lägenhet, Vasastan Sibirien",+7.1 %
Upplandsgatan 63A,7300000,"3 rum, 80 m²",2020-09-11,91 300 kr/m²,"Lägenhet, Vasastan",+5.0 %
Döbelnsgatan 58,5250000,"2 rum, 57 m²",2020-09-11,92 100 kr/m²,"Lägenhet, Vasastan",+7.3 %
Rörstrandsgatan 23,3000000,"1 rum, 27 m²",2020-09-11,111 100 kr/m²,"Lägenhet, Vasastan - Birkastan",+11.3 %
Hagagatan 17C,6460000,"3 rum, 77 m²",2020-09-11,83 900 kr/m²,"Lägenhet, Vasastan",+7.8 %
Västmannagatan 91,5500000,"2 rum, 54 m²",2020-09-11,101 900 kr/m²,"Lägenhet, Vasastan",+10.1 %
Odengatan 49,12500000,"4 rum, 126 m²",2020-09-11,99 200 kr/m²,"Lägenhet, Vasastan",-0.8 %
Frejgatan 23,5500000,"2 rum, 55 m²",2020-09-11,100 000 kr/m²,"Lägenhet, Vasastan",+10.1 %
Gävlegatan 26,5800000,"2 rum, 65 m²",2020-09-11,89 200 kr/m²,"Lägenhet, Vasastan",+5.6 %
Sankt Eriksgatan 84,3850000,"2 rum, 38 m²",2020-09-10,101 300 kr/m²,"Lägenhet, Birkastan",+10.2 %
Valhallavägen 14,7550000,"3 rum, 84 m²",2020-09-10,89 900 kr/m²,"Lägenhet, Östermalm",+8.2 %
Frejgatan 4,6025000,"2 rum, 61 m²",2020-09-10,98 800 kr/m²,"Lägenhet, Vasastan",+14.8 %
Västmannagatan 25,6350000,"2 rum, 54 m²",2020-09-10,117 600 kr/m²,"Lägenhet, Vasastan",+21.0 %
Upplandsgatan 22,6200000,"2 rum, 52 m²",2020-09-10,119 200 kr/m²,"Lägenhet, Vasastan",+25.3 %
Tomtebogatan 39,8625000,"3 rum, 85 m²",2020-09-10,101 500 kr/m²,"Lägenhet, Vasastan",+8.5 %
Birkagatan 33,4750000,"2 rum, 47 m²",2020-09-10,101 100 kr/m²,"Lägenhet, Vasastan",+11.8 %
Nina Einhorns gata 8,7400000,"4 rum, 84 m²",2020-09-10,88 100 kr/m²,"Lägenhet, Hagastaden",+12.1 %
Surbrunnsgatan 5,6600000,"3 rum, 71 m²",2020-09-10,93 000 kr/m²,"Lägenhet, Östermalm",+10.1 %
Rörstrandsgatan 27,3850000,"2 rum, 40 m²",2020-09-10,96 300 kr/m²,"Lägenhet, Vasastan - Birkastan",+10.2 %
Dalagatan 90,4660000,"2 rum, 52 m²",2020-09-10,89 600 kr/m²,"Lägenhet, Vasastan",+9.0 %
Tulegatan 43,5400000,"2 rum, 60 m²",2020-09-10,90 000 kr/m²,"Lägenhet, Vasastan",+25.7 %
Birkagatan 10,2920000,"1 rum, 17 m²",2020-09-10,171 800 kr/m²,"Lägenhet, Vasastan",+24.3 %
Falugatan 17,4000000,"2 rum, 44 m²",2020-09-10,90 900 kr/m²,"Lägenhet, Vasastan",+8.3 %
Hälsingegatan 13,11100000,"4 rum, 108 m²",2020-09-10,102 800 kr/m²,"Lägenhet, Vasastan",+0.9 %
Roslagsgatan 47,4060000,"2 rum, 38 m²",2020-09-10,106 800 kr/m²,"Lägenhet, Vasastan",+16.2 %
Tulegatan 28,3620000,"1 rum, 36 m²",2020-09-10,100 300 kr/m²,"Lägenhet, Vasastan",+14.9 %
Frejgatan 101,3550000,"1 rum, 35 m²",2020-09-10,101 400 kr/m²,"Lägenhet, Vasastan - Odenplan",—
Rödabergsgatan 6,3825000,"2 rum, 43 m²",2020-09-10,89 000 kr/m²,"Lägenhet, Vasastan",+14.2 %
Falugatan 14,3350000,"1 rum, 36 m²",2020-09-10,93 100 kr/m²,"Lägenhet, Vasastan",+1.7 %
Roslagsgatan 45,5100000,"2 rum, 50 m²",2020-09-10,102 000 kr/m²,"Lägenhet, Vasastan - Sibirien",—
Tomtebogatan 11,7145000,"3 rum, 71 m²",2020-09-10,100 600 kr/m²,"Lägenhet, Vasastan",+10.0 %
Drejargatan 6,3600000,"1½ rum, 39 m²",2020-09-10,92 300 kr/m²,"Lägenhet, Vasastan",+0.7 %
Nina Einhorns gata 4,4700000,"2 rum, 47 m²",2020-09-10,100 000 kr/m²,"Lägenhet, Hagastaden",+5.6 %
Birkagatan 17,9525000,"3 rum, 97 m²",2020-09-10,98 200 kr/m²,"Lägenhet, Birkastan Vasastan",+7.3 %
Nina Einhorns gata 4,5400000,"2 rum, 54 m²",2020-09-10,100 000 kr/m²,"Lägenhet, Hagastaden",+/-0.0 %
Vanadisvägen 18,9525000,"3 rum, 95 m²",2020-09-10,100 300 kr/m²,"Lägenhet, Vasastan",+6.0 %
Sveavägen 95,4400000,"2 rum, 41½ m²",2020-09-09,106 000 kr/m²,"Lägenhet, Vasastan",+17.3 %
Roslagsgatan 58,6600000,"2 rum, 65 m²",2020-09-09,101 500 kr/m²,"Lägenhet, Vasastan",+12.0 %
Birger Jarlsgatan 110,4195000,"2 rum, 35 m²",2020-09-09,119 900 kr/m²,"Lägenhet, Östermalm",+20.0 %
Surbrunnsgatan 31A,5050000,"2 rum, 51 m²",2020-09-09,99 000 kr/m²,"Lägenhet, Vasastan",+9.8 %
Torsgatan 77,4200000,"2 rum, 40 m²",2020-09-09,105 000 kr/m²,"Lägenhet, Vasastan",+15.1 %
Karlbergsvägen 66A,5775000,"2 rum, 59 m²",2020-09-09,97 900 kr/m²,"Lägenhet, Vasastan - Birkastan",+11.2 %
Rörstrandsgatan 35,7400000,"2½ rum, 68 m²",2020-09-09,108 800 kr/m²,"Lägenhet, Vasastan Birkastan",+18.4 %
Döbelnsgatan 41,7050000,"3 rum, 70 m²",2020-09-09,100 700 kr/m²,"Lägenhet, Vasastan",+12.8 %
Upplandsgatan 78,11400000,"3 rum, 108 m²",2020-09-09,105 600 kr/m²,"Lägenhet, Vasastan",+6.5 %
Frejgatan 36,7425000,"2½ rum, 72 m²",2020-09-09,103 100 kr/m²,"Lägenhet, Vasastan",+6.1 %
Tulegatan 22,3000000,"1 rum, 28 m²",2020-09-09,107 100 kr/m²,"Lägenhet, Vasastan",+11.3 %
Norrtullsgatan 25F,6700000,"2 rum, 64 m²",2020-09-09,104 700 kr/m²,"Lägenhet, Vasastan Odenplan",+9.8 %
Karlbergsvägen 29A,3730000,"1 rum, 31 m²",2020-09-09,120 300 kr/m²,"Lägenhet, Vasastan",+22.3 %
Roslagsgatan 45,3300000,"2 rum, 32½ m²",2020-09-09,101 500 kr/m²,"Lägenhet, Vasastan",+10.2 %
Heimdalsgatan 8,9025000,"3 rum, 96 m²",2020-09-09,94 000 kr/m²,"Lägenhet, Vasastan - Odenplan",+0.3 %
Tulegatan 28,3937500,"1½ rum, 37 m²",2020-09-09,106 400 kr/m²,"Lägenhet, Vasastan",+7.1 %
Sankt Eriksgatan 103,3100000,"1 rum, 26 m²",2020-09-09,119 200 kr/m²,"Lägenhet, Vasastan - S:t Eriksplan",+15.0 %
Vulcanusgatan 1,5615000,"2½ rum, 66 m²",2020-09-09,85 100 kr/m²,"Lägenhet, Vasastan",+2.2 %
Norrtullsgatan 4,12100000,"3 rum, 136 m²",2020-09-09,89 000 kr/m²,"Lägenhet, Vasastan - Odenplan",+10.1 %
Dannemoragatan 10,7500000,"3 rum, 85 m²",2020-09-09,88 200 kr/m²,"Lägenhet, Vasastan",+4.2 %
Rehnsgatan 10,6200000,"2 rum, 58 m²",2020-09-09,106 900 kr/m²,"Lägenhet, Vasastan",+6.0 %
Norrbackagatan 23,5450000,"3 rum, 77½ m²",2020-09-09,70 100 kr/m²,"Lägenhet, Vasastan",-0.9 %
Torsgatan 38,5150000,"2 rum, 62 m²",2020-09-09,83 100 kr/m²,"Lägenhet, Vasastan",+3.1 %
Surbrunnsgatan 34A,8100000,"3 rum, 76 m²",2020-09-09,106 600 kr/m²,"Lägenhet, Vasastan - Sibirien",—
Dalagatan 21,3550000,"1 rum, 29 m²",2020-09-09,122 400 kr/m²,"Lägenhet, Vasastan",+22.8 %
Sankt Eriksplan 13,8600000,"2 rum, 66 m²",2020-09-09,130 300 kr/m²,"Lägenhet, Vasastan - S:t Eriksplan",+7.6 %
Karlbergsvägen 87,5610000,"2 rum, 62 m²",2020-09-09,90 500 kr/m²,"Lägenhet, Vasastan Birkastan",+14.5 %
Valhallavägen 22C,3700000,"1 rum, 34 m²",2020-09-08,108 800 kr/m²,"Lägenhet, Östermalm",—
Birkagatan 24A,5770000,"2 rum, 51 m²",2020-09-08,113 100 kr/m²,"Lägenhet, Vasastan",+19.0 %
Vulcanusgatan 13,3900000,"1 rum, 35 m²",2020-09-08,111 400 kr/m²,"Lägenhet, Vasastan",+22.1 %
Västmannagatan 72,9350000,"4 rum, 100 m²",2020-09-08,93 500 kr/m²,"Lägenhet, Vasastan",+17.6 %
Hälsingegatan 7A,4370000,"2 rum, 32 m²",2020-09-08,136 600 kr/m²,"Lägenhet, Vasastan",+28.7 %
Odengatan 24,9525000,"3 rum, 93 m²",2020-09-08,102 400 kr/m²,"Lägenhet, Vasastan",+14.8 %
Birkagatan 19,4400000,"2 rum, 40 m²",2020-09-08,110 000 kr/m²,"Lägenhet, Vasastan",+15.9 %
Nina Einhorns gata 4,5000000,"2 rum, 44 m²",2020-09-08,113 600 kr/m²,"Lägenhet, Vasastan",+25.2 %
Rådmansgatan 75,3230000,"1 rum, 35 m²",2020-09-08,92 300 kr/m²,"Lägenhet, Vasastan",+4.5 %
Ynglingagatan 25,8900000,"3 rum, 89 m²",2020-09-08,100 000 kr/m²,"Lägenhet, Vasastan",+11.3 %
Sonja Kovalevskys gata 6,6135000,"3 rum, 64 m²",2020-09-08,95 900 kr/m²,"Lägenhet, Vasastan",+6.7 %
Bråvallagatan 5,5100000,"2 rum, 44 m²",2020-09-08,115 900 kr/m²,"Lägenhet, Vasastan",+21.6 %
Tomtebogatan 16,3950000,"1 rum, 39 m²",2020-09-08,101 300 kr/m²,"Lägenhet, Vasastan",+14.5 %
Tomtebogatan 15,4095000,"2 rum, 42 m²",2020-09-08,97 500 kr/m²,"Lägenhet, Vasastan - Birkastan",+/-0.0 %
Västmannagatan 85B,5000000,"2 rum, 42 m²",2020-09-08,119 000 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Döbelnsgatan 16A,12910000,"4 rum, 130 m²",2020-09-08,99 300 kr/m²,"Lägenhet, Vasastan",+3.3 %
Karlbergsvägen 87,6400000,"3 rum, 62 m²",2020-09-07,103 200 kr/m²,"Lägenhet, Stockhlom",+8.6 %
Tomtebogatan 21A,5960000,"2 rum, 53 m²",2020-09-07,112 500 kr/m²,"Lägenhet, Vasastan - Birkastan",+19.3 %
Nina Einhorns gata 8,3055000,"1 rum, 39 m²",2020-09-07,78 300 kr/m²,"Lägenhet, Hagastaden",+2.0 %
Kungstensgatan 51,6900000,"3 rum, 66 m²",2020-09-07,104 500 kr/m²,"Lägenhet, Vasastan",+6.2 %
Frejgatan 56,6000000,"2 rum, 60 m²",2020-09-07,100 000 kr/m²,"Lägenhet, Vasastan",+10.1 %
Roslagsgatan 47,5150000,"2 rum, 42 m²",2020-09-07,122 600 kr/m²,"Lägenhet, Vasastan",+4.0 %
Birger Jarlsgatan 83,2580000,"1 rum, 24 m²",2020-09-07,107 500 kr/m²,"Lägenhet, Vasastan",+9.8 %
Norrtullsgatan 26,9800000,"3 rum, 105 m²",2020-09-06,93 300 kr/m²,"Lägenhet, Vasastan",+9.5 %
Ingemarsgatan 2,5000000,"2 rum, 62 m²",2020-09-06,80 600 kr/m²,"Lägenhet, Vasastan",+7.5 %
Atlasgatan 13,4375000,"2 rum, 42 m²",2020-09-06,104 200 kr/m²,"Lägenhet, Vasastan",-0.6 %
Roslagsgatan 28,4600000,"2 rum, 55½ m²",2020-09-06,83 000 kr/m²,"Lägenhet, Vasastan",-3.2 %
Roslagsgatan 60,4100000,"2 rum, 50½ m²",2020-09-06,81 200 kr/m²,"Lägenhet, Vasastan - Sibirien",-4.5 %
Dannemoragatan 18,4400000,"3 rum, 59 m²",2020-09-05,74 600 kr/m²,"Lägenhet, Vasastan",+0.1 %
Torsgatan 38,8550000,"3 rum, 83 m²",2020-09-05,103 000 kr/m²,"Lägenhet, Vasastan",+6.9 %
Norrbackagatan 17,4325000,"2 rum, 36 m²",2020-09-04,120 100 kr/m²,"Lägenhet, Vasastan",+23.7 %
Gävlegatan 2,10885000,"4 rum, 102 m²",2020-09-04,106 700 kr/m²,"Lägenhet, Vasastan",+3.7 %
Kungstensgatan 51,6800000,"2 rum, 55 m²",2020-09-04,123 600 kr/m²,"Lägenhet, Vasastan",+13.4 %
Surbrunnsgatan 11,8200000,"3 rum, 76 m²",2020-09-04,107 900 kr/m²,"Lägenhet, Östermalm",+9.4 %
Roslagsgatan 35,4370000,"2 rum, 43 m²",2020-09-04,101 600 kr/m²,"Lägenhet, Vasastan",+21.6 %
Sveavägen 95,3750000,"2 rum, 43½ m²",2020-09-04,86 200 kr/m²,"Lägenhet, Vasastan",+2.7 %
Norrtullsgatan 32,3050000,"2 rum, 29 m²",2020-09-04,105 200 kr/m²,"Lägenhet, Vasastan",+13.2 %
Dannemoragatan 18,4750000,"2 rum, 56 m²",2020-09-04,84 800 kr/m²,"Lägenhet, Vasastan",-0.9 %
Rörstrandsgatan 16,8300000,"3 rum, 92 m²",2020-09-04,90 200 kr/m²,"Lägenhet, Vasastan Birkastan",+/-0.0 %
Birger Jarlsgatan 104N,3150000,"1½ rum, 28 m²",2020-09-03,112 500 kr/m²,"Lägenhet, Östermalm",+12.7 %
Norrtullsgatan 36,3790000,"2 rum, 41 m²",2020-09-03,92 400 kr/m²,"Lägenhet, Vasastan",+8.4 %
Sveavägen 115,10600000,"4 rum, 119 m²",2020-09-03,89 100 kr/m²,"Lägenhet, Vasastan",+3.0 %
Tomtebogatan 44,6075000,"2 rum, 59 m²",2020-09-03,103 000 kr/m²,"Lägenhet, Vasastan",+12.6 %
Sankt Eriksgatan 85A,6050000,"2 rum, 54 m²",2020-09-03,112 000 kr/m²,"Lägenhet, Vasastan",+16.5 %
Norrtullsgatan 38,4650000,"3 rum, 52 m²",2020-09-03,89 400 kr/m²,"Lägenhet, Vasastan",+10.8 %
Roslagsgatan 23,5115000,"2 rum, 52 m²",2020-09-03,98 400 kr/m²,"Lägenhet, Vasastan",+8.8 %
Frejgatan 55,8900000,"3 rum, 103 m²",2020-09-03,86 400 kr/m²,"Lägenhet, Vasastan",+22.0 %
Torsgatan 56,7520000,"3 rum, 79 m²",2020-09-03,95 200 kr/m²,"Lägenhet, Vasastan",+16.1 %
Birger Jarlsgatan 104B,3210000,"2 rum, 31 m²",2020-09-03,103 500 kr/m²,"Lägenhet, Östermalm",+14.8 %
Torsgatan 42C,3570000,"1½ rum, 32½ m²",2020-09-03,109 800 kr/m²,"Lägenhet, Vasastan",+19.2 %
Rehnsgatan 17,3400000,"1 rum, 33 m²",2020-09-03,103 000 kr/m²,"Lägenhet, Vasastan",-1.4 %
Dalagatan 43,8350000,"3 rum, 79 m²",2020-09-03,105 700 kr/m²,"Lägenhet, Vasastan",-1.7 %
Heimdalsgatan 5,15800000,"5 rum, 124 m²",2020-09-03,127 400 kr/m²,"Lägenhet, Vasastan",+1.9 %
Sankt Eriksgatan 74,7800000,"3½ rum, 89 m²",2020-09-03,87 600 kr/m²,"Lägenhet, Vasastan",+1.4 %
Falugatan 20,3900000,"2 rum, 41 m²",2020-09-03,95 100 kr/m²,"Lägenhet, Vasastan",+11.7 %
Torsgatan 42B,4450000,"2 rum, 46 m²",2020-09-03,96 700 kr/m²,"Lägenhet, Vasastan",—
Falugatan 14,4450000,"2 rum, 47½ m²",2020-09-03,93 700 kr/m²,"Lägenhet, Vasastan",+11.4 %
Norrtullsgatan 4,13500000,"4 rum, 139 m²",2020-09-03,97 100 kr/m²,"Lägenhet, Vasastan",+3.9 %
Valhallavägen 22C,9200000,"4 rum, 97 m²",2020-09-03,94 800 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Karlbergsvägen 25C,3440000,"1 rum, 33 m²",2020-09-03,104 200 kr/m²,"Lägenhet, Vasastan",+14.9 %
Tulegatan 22,4815000,"2 rum, 48 m²",2020-09-02,100 300 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Norrbackagatan 27A,3900000,"2 rum, 38 m²",2020-09-02,102 600 kr/m²,"Lägenhet, Vasastan",+14.9 %
Västmannagatan 67,7250000,"4 rum, 71 m²",2020-09-02,102 100 kr/m²,"Lägenhet, Vasastan",+16.0 %
Tulegatan 22,6400000,"3 rum, 65 m²",2020-09-02,98 500 kr/m²,"Lägenhet, Vasastan",+12.4 %
Eastmansvägen 11,11250000,"5 rum, 103 m²",2020-09-02,109 200 kr/m²,"Lägenhet, Vasastan",+15.4 %
Birger Jarlsgatan 111A,6700000,"3 rum, 75 m²",2020-09-02,89 300 kr/m²,"Lägenhet, Vasastan - Östermalm",+6.4 %
Tomtebogatan 28A,4150000,"2 rum, 37 m²",2020-09-02,112 200 kr/m²,"Lägenhet, Vasastan - Birkastan",+12.3 %
Bråvallagatan 9A,7310000,"2½ rum, 70 m²",2020-09-02,104 400 kr/m²,"Lägenhet, Vasastan - Birkastan",+8.3 %
Vikingagatan 41,3700000,"1 rum, 43 m²",2020-09-02,86 000 kr/m²,"Lägenhet, Vasastan",+6.5 %
Hälsingegatan 8A,4390000,"2 rum, 31 m²",2020-09-02,141 600 kr/m²,"Lägenhet, Vasastan",+9.9 %
Birkagatan 29,3775000,"1 rum, 35 m²",2020-09-02,107 900 kr/m²,"Lägenhet, Vasastan",+18.2 %
Frejgatan 4,3225000,"1 rum, 29 m²",2020-09-02,111 200 kr/m²,"Lägenhet, Östermalm",+21.7 %
Bigarråvägen 9,4260000,"2 rum, 69½ m²",2020-09-02,61 300 kr/m²,"Lägenhet, Vasastan Östermalm",+4.0 %
Atlasgatan 13,3075000,"1 rum, 28 m²",2020-09-02,109 800 kr/m²,"Lägenhet, Vasastan",+6.2 %
Döbelnsgatan 79,5300000,"2 rum, 58½ m²",2020-09-02,90 400 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Tre Liljor 3,3820000,"2 rum, 38 m²",2020-09-02,100 500 kr/m²,"Lägenhet, Vasastan",+9.3 %
Birkagatan 31,7900000,"3 rum, 84 m²",2020-09-02,94 000 kr/m²,"Lägenhet, Vasastan",+2.7 %
Roslagsgatan 48,14400000,"4 rum, 130 m²",2020-09-02,110 800 kr/m²,"Lägenhet, Vasastan",-2.4 %
Robert Almströmsgatan 3,3200000,"1 rum, 33 m²",2020-09-02,97 000 kr/m²,"Lägenhet, Vasastan",+6.8 %
Sankt Eriksgatan 71,2900005,"1 rum, 26 m²",2020-09-02,111 500 kr/m²,"Lägenhet, Vasastan - Birkastan",+16.2 %
Gävlegatan 3,5025000,"3 rum, 57 m²",2020-09-02,88 200 kr/m²,"Lägenhet, Vasastan",+5.8 %
Tegnérgatan 48,20500000,"6 rum, 237 m²",2020-09-02,86 500 kr/m²,"Lägenhet, Vasastan",-1.2 %
Birger Jarlsgatan 107,6600000,"3 rum, 74 m²",2020-09-02,89 200 kr/m²,"Lägenhet, Vasastan",+1.6 %
Karlbergsvägen 57,2690000,"1 rum, 20 m²",2020-09-02,134 500 kr/m²,"Lägenhet, Vasastan",+17.2 %
Birkagatan 16A,8000000,"3 rum, 87 m²",2020-09-02,92 000 kr/m²,"Lägenhet, Vasastan Birkastan",—
Torsplan 8,6725000,"2 rum, 62 m²",2020-09-01,108 500 kr/m²,"Lägenhet, Vasastan",—
Rörstrandsgatan 36A,4750000,"2 rum, 39 m²",2020-09-01,121 800 kr/m²,"Lägenhet, Vasastan",+22.0 %
Västmannagatan 89A,6340000,"2 rum, 59 m²",2020-09-01,107 500 kr/m²,"Lägenhet, Vasastan",+15.8 %
Tulegatan 22,4870000,"2 rum, 47 m²",2020-09-01,103 600 kr/m²,"Lägenhet, Vasastan",+16.1 %
Holländargatan 33,3950000,"1 rum, 33 m²",2020-09-01,119 700 kr/m²,"Lägenhet, Vasastan",+25.4 %
Tomtebogatan 34,9050000,"3 rum, 84 m²",2020-09-01,107 700 kr/m²,"Lägenhet, Birkastan",+14.6 %
Hagagatan 4,6135000,"3 rum, 68 m²",2020-09-01,90 200 kr/m²,"Lägenhet, Vasastan",+11.6 %
Vulcanusgatan 8,3810000,"2 rum, 36 m²",2020-09-01,105 800 kr/m²,"Lägenhet, Vasastan",+15.6 %
Torsplan 10,10650000,"3 rum, 87 m²",2020-09-01,122 400 kr/m²,"Lägenhet, Vasastan",-0.4 %
Sankt Eriksgatan 75,9625000,"3½ rum, 72 m²",2020-09-01,133 700 kr/m²,"Lägenhet, Vasastan",+20.4 %
Roslagsgatan 28,4400000,"2 rum, 55½ m²",2020-09-01,79 400 kr/m²,"Lägenhet, Vasastan",+10.1 %
Sveavägen 117A,5510000,"2 rum, 61 m²",2020-09-01,90 300 kr/m²,"Lägenhet, Vasastan",+10.3 %
Ynglingagatan 21,5700000,"2 rum, 59 m²",2020-08-31,96 600 kr/m²,"Lägenhet, Vasastan",+0.1 %
Norrbackagatan 27B,5900000,"3 rum, 82 m²",2020-08-31,72 000 kr/m²,"Lägenhet, Birkastan Vasastan",+10.3 %
Hälsingegatan 13A,4300000,"2 rum, 39 m²",2020-08-31,110 300 kr/m²,"Lägenhet, Vasastan Odenplan",+17.8 %
